iter	MultiClass
0	1.306028999
1	1.220723551
2	1.159925274
3	1.102131398
4	1.044564236
5	0.9995548952
6	0.9653012877
7	0.9279498057
8	0.8964243117
9	0.8645298567
10	0.8352580068
11	0.8097711914
12	0.7868675118
13	0.7623517452
14	0.742033113
15	0.7231034366
16	0.7067955487
17	0.6894748021
18	0.6729110227
19	0.658669857
20	0.6471875791
21	0.6354641458
22	0.6227768426
23	0.6108738109
24	0.5991962722
25	0.5872461626
26	0.577019579
27	0.5679239781
28	0.5567924746
29	0.5486414083
30	0.5404064052
31	0.5330434837
32	0.5263361094
33	0.5178213031
34	0.5124681857
35	0.5053645808
36	0.4989170303
37	0.4919908877
38	0.4856742183
39	0.4807716435
40	0.4747800538
41	0.4690053111
42	0.4636014356
43	0.4580059312
44	0.4538378833
45	0.451284831
46	0.4460809134
47	0.439754078
48	0.4363693832
49	0.4315003457
50	0.4278463874
51	0.4239086102
52	0.4209364003
53	0.4169400183
54	0.4117513984
55	0.4089428813
56	0.405495344
57	0.4009011113
58	0.3972777781
59	0.3942329149
60	0.3897432789
61	0.3859391801
62	0.3828041043
63	0.3788669148
64	0.375181404
65	0.3720564636
66	0.3698373609
67	0.3665641436
68	0.3620765623
69	0.3596249329
70	0.3553658373
71	0.3525464542
72	0.3492945753
73	0.3476211662
74	0.3454419422
75	0.3421832463
76	0.3391998093
77	0.336440845
78	0.3333574188
79	0.3304236717
80	0.3282031267
81	0.325694957
82	0.3228115785
83	0.3205605514
84	0.3180956407
85	0.3150361678
86	0.3126900587
87	0.3113623658
88	0.3088804764
89	0.3067268646
90	0.3038950316
91	0.3015735357
92	0.2999807273
93	0.2977860903
94	0.2957789781
95	0.2944951857
96	0.2916346879
97	0.2897778389
98	0.2875195039
99	0.2863872331
100	0.2845241326
101	0.2832716672
102	0.2812841406
103	0.2793032694
104	0.2772432154
105	0.2752854984
106	0.2737037954
107	0.2709991245
108	0.2688106738
109	0.2666322916
110	0.2645415688
111	0.2611468291
112	0.2582944264
113	0.25578883
114	0.2538702185
115	0.2518547614
116	0.2496495438
117	0.2479034904
118	0.2466648823
119	0.2447860939
120	0.2432610259
121	0.24179354
122	0.240459398
123	0.2391788708
124	0.236908207
125	0.2353106463
126	0.2333981246
127	0.2320942911
128	0.2309290599
129	0.2293104454
130	0.227486169
131	0.2262890307
132	0.2252294736
133	0.2239776867
134	0.2225235712
135	0.221065091
136	0.2197416908
137	0.2187714773
138	0.2181596934
139	0.2161459751
140	0.2156580852
141	0.2151457675
142	0.2137377952
143	0.2132548956
144	0.2122483182
145	0.2107907443
146	0.2090934867
147	0.2081929721
148	0.2075446645
149	0.2064705355
150	0.2049913788
151	0.2040603223
152	0.2028204723
153	0.2020389586
154	0.2007302053
155	0.2004059163
156	0.1989150816
157	0.1985306518
158	0.1969185838
159	0.1960427006
160	0.1948154654
161	0.1938560189
162	0.192559239
163	0.1911111099
164	0.1902163166
165	0.1891565734
166	0.1877066599
167	0.1864969056
168	0.1850579268
169	0.1839313486
170	0.1828786456
171	0.181945831
172	0.1815426828
173	0.1808019067
174	0.1798622363
175	0.1786888002
176	0.1768798098
177	0.1760732538
178	0.1755731923
179	0.1744689417
180	0.172878862
181	0.1720002385
182	0.1713387461
183	0.1703724138
184	0.1687013812
185	0.1678128285
186	0.1667867734
187	0.1659440562
188	0.1649960041
189	0.1642391534
190	0.1635584374
191	0.1629910049
192	0.1620316965
193	0.1610194366
194	0.1602182177
195	0.1592172059
196	0.1580030257
197	0.1569927819
198	0.1559076965
199	0.1552379783
200	0.1544107846
201	0.1540353684
202	0.1529734235
203	0.1524584542
204	0.1517964508
205	0.1510410484
206	0.1501184163
207	0.1495010872
208	0.1486933305
209	0.1483443389
210	0.1476301033
211	0.1470487516
212	0.1465675269
213	0.1455841945
214	0.1448977857
215	0.1441445189
216	0.1432393476
217	0.1426001756
218	0.1419257312
219	0.1412525553
220	0.1404643983
221	0.1395340122
222	0.1389209312
223	0.1382092403
224	0.137653795
225	0.1373013161
226	0.1366557393
227	0.1359961548
228	0.135196465
