iter	Passed	Remaining
0	67	67443
1	79	39525
2	87	29205
3	95	23748
4	103	20694
5	115	19101
6	124	17610
7	133	16580
8	142	15657
9	151	14962
10	162	14632
11	171	14131
12	181	13785
13	189	13377
14	200	13141
15	210	12941
16	221	12783
17	229	12501
18	240	12404
19	249	12203
20	257	12001
21	265	11821
22	273	11606
23	284	11552
24	290	11345
25	300	11238
26	306	11036
27	314	10902
28	320	10740
29	328	10627
30	334	10454
31	341	10321
32	348	10207
33	354	10084
34	362	9983
35	368	9875
36	375	9774
37	384	9733
38	392	9679
39	399	9587
40	405	9496
41	413	9438
42	421	9387
43	428	9318
44	435	9244
45	443	9194
46	451	9155
47	458	9098
48	467	9065
49	474	9010
50	483	9003
51	491	8965
52	500	8946
53	509	8927
54	516	8878
55	524	8838
56	532	8804
57	538	8748
58	545	8704
59	552	8659
60	560	8626
61	566	8577
62	575	8561
63	583	8533
64	591	8504
65	598	8471
66	606	8450
67	613	8412
68	620	8366
69	626	8327
70	633	8287
71	641	8265
72	648	8234
73	656	8211
74	662	8175
75	670	8146
76	677	8125
77	685	8098
78	692	8074
79	698	8035
80	705	8007
81	712	7976
82	719	7944
83	726	7917
84	733	7891
85	740	7872
86	748	7850
87	756	7842
88	765	7838
89	776	7856
90	785	7846
91	794	7839
92	804	7841
93	813	7836
94	822	7831
95	830	7822
96	840	7826
97	850	7827
98	858	7813
99	867	7808
100	876	7803
101	884	7790
102	893	7778
103	901	7768
104	912	7781
105	923	7786
106	933	7787
107	943	7790
108	956	7815
109	970	7849
110	981	7863
111	993	7874
112	1010	7928
113	1025	7970
114	1040	8004
115	1055	8043
116	1065	8040
117	1079	8065
118	1093	8093
119	1106	8114
120	1120	8140
121	1134	8161
122	1145	8167
123	1159	8191
124	1170	8196
125	1186	8228
126	1204	8282
127	1222	8329
128	1241	8379
129	1254	8395
130	1266	8402
131	1282	8436
132	1302	8492
133	1331	8602
134	1350	8654
135	1364	8669
136	1380	8695
137	1394	8710
138	1403	8692
139	1414	8689
140	1423	8674
141	1431	8651
142	1439	8628
143	1446	8600
144	1452	8567
145	1461	8549
146	1468	8521
147	1476	8497
148	1483	8470
149	1489	8442
150	1497	8419
151	1504	8391
152	1511	8365
153	1518	8341
154	1526	8322
155	1533	8297
156	1541	8276
157	1549	8255
158	1556	8232
159	1562	8202
160	1569	8176
161	1576	8155
162	1583	8131
163	1591	8112
164	1597	8085
165	1604	8062
166	1610	8034
167	1617	8009
168	1624	7989
169	1631	7963
170	1638	7944
171	1646	7927
172	1653	7905
173	1661	7886
174	1668	7867
175	1677	7852
176	1684	7833
177	1692	7813
178	1699	7794
179	1707	7780
180	1715	7761
181	1722	7743
182	1730	7724
183	1737	7707
184	1746	7693
185	1754	7678
186	1762	7662
187	1771	7650
188	1779	7635
189	1788	7624
190	1797	7611
191	1805	7599
192	1814	7587
193	1822	7570
194	1828	7549
195	1838	7540
196	1846	7528
197	1855	7514
198	1863	7498
199	1871	7486
200	1877	7465
201	1885	7448
202	1892	7428
203	1899	7412
204	1907	7398
205	1914	7379
206	1921	7360
207	1928	7341
208	1936	7327
209	1943	7311
210	1951	7297
211	1958	7278
212	1966	7267
213	1975	7254
214	1982	7237
215	1989	7222
216	1996	7205
217	2006	7196
218	2012	7178
219	2021	7165
220	2027	7147
221	2036	7135
222	2043	7121
223	2051	7107
224	2059	7093
225	2068	7082
226	2075	7068
227	2083	7055
228	2090	7037
229	2097	7023
230	2104	7007
231	2111	6989
232	2119	6975
233	2126	6961
234	2134	6948
235	2142	6935
236	2151	6926
237	2158	6909
238	2166	6899
239	2174	6885
240	2181	6870
241	2189	6856
242	2196	6843
243	2204	6828
244	2211	6815
245	2219	6803
246	2227	6789
247	2235	6777
248	2241	6761
249	2249	6747
250	2255	6730
251	2263	6717
252	2270	6704
253	2277	6689
254	2284	6675
255	2291	6660
256	2301	6654
257	2308	6638
258	2315	6624
259	2321	6608
260	2331	6600
261	2338	6586
262	2346	6574
263	2352	6558
264	2359	6543
265	2366	6530
266	2372	6513
267	2380	6501
268	2386	6485
269	2394	6473
270	2401	6458
271	2407	6443
272	2414	6429
273	2420	6413
274	2428	6402
275	2436	6390
276	2443	6377
277	2449	6362
278	2457	6350
279	2465	6339
280	2472	6326
281	2479	6314
282	2486	6299
283	2494	6288
284	2501	6275
